Date,Open,High,Low,Close,Volume
2021-03-25,906.0554,909.8889,879.9517,884.1502,3654840
2021-03-26,892.5473,910.7103,891.7258,904.5038,2761824
2021-03-30,904.9601,930.79,904.9601,928.1432,4300037
2021-03-31,933.7109,933.7109,902.861,904.9146,3780505
2021-04-01,912.7183,919.8375,899.9402,905.5535,3555291
2021-04-05,905.4166,919.2899,892.8211,910.6191,5118272
2021-04-06,918.1946,920.02,902.2676,904.8232,2395572
2021-04-07,905.4165,917.8751,896.3806,914.9088,2974419
2021-04-08,920.02,958.2172,917.2818,939.1871,6737118
2021-04-09,939.1415,964.5608,927.8239,961.0925,6029994
2021-04-12,959.2669,966.6143,928.0519,949.0901,7896295
2021-04-13,953.7906,958.5824,897.2021,914.4068,6448995
2021-04-15,914.4069,919.8375,885.6106,906.4662,4373215
2021-04-16,910.8928,925.0399,909.0673,922.1192,2660763
2021-04-19,911.8969,921.298,897.476,912.8096,2777425
2021-04-20,909.0674,919.5637,888.3943,897.5672,4028636
2021-04-22,888.6225,899.4839,876.8028,883.3287,5085190
2021-04-23,882.1422,886.2038,862.8839,867.2649,3916517
2021-04-26,867.9951,885.3368,855.2171,878.2176,5053998
2021-04-27,878.6739,901.4006,861.743,884.6522,10497935
2021-04-28,889.9003,894.4639,883.5113,892.0909,2968625
2021-04-29,899.0275,899.0275,885.8387,891.6345,2747579
2021-04-30,888.8051,891.6346,872.0111,876.5747,3129105
2021-05-03,876.2095,880.7731,871.6459,874.1103,3506839
2021-05-04,879.8605,885.2455,872.1936,876.5747,4064221
2021-05-05,887.7098,887.7098,870.5051,876.5747,3041045
2021-05-06,880.7731,898.7537,874.2472,892.5928,4620827
2021-05-07,894.4639,898.343,887.2534,895.331,2002597
2021-05-10,899.0275,906.0099,888.1662,904.0475,2036101
2021-05-11,898.1148,900.8073,885.7931,891.7714,2029457
2021-05-12,891.7257,891.7257,867.4474,878.3544,3070622
2021-05-14,878.9477,882.0966,859.233,869.0904,2090820
2021-05-17,870.7332,874.3385,860.6933,870.14,2281200
2021-05-18,876.529,893.5512,873.517,886.0213,2000985
2021-05-19,884.4241,900.2141,878.5826,892.3191,2152740
2021-05-20,898.845,898.845,880.9558,888.1662,1769194
2021-05-21,891.6801,899.9402,887.0252,894.9202,1534262
2021-05-24,894.2814,907.2421,889.9917,897.8411,1830838
2021-05-25,903.6367,914.2699,897.9322,906.0098,2719646
2021-05-26,908.748,923.6709,906.3292,919.8375,2013788
2021-05-27,919.1073,941.9253,919.0161,930.7901,6393813
2021-05-28,930.9728,942.8381,924.2186,936.6772,1839013
2021-05-31,935.5363,941.9253,924.5837,932.4787,1801746
2021-06-01,935.2623,941.9252,924.903,940.5562,1262702
2021-06-02,931.1552,935.2624,907.2419,928.1888,5252186
2021-06-03,928.1888,931.6572,919.1073,925.8157,2024676
2021-06-04,930.5619,937.316,922.7582,930.2425,2315912
2021-06-07,935.4906,948.2686,930.4707,944.1158,1745475
2021-06-08,948.3142,968.3028,946.5345,965.4277,4517995
2021-06-09,965.4277,971.5429,954.8858,960.4078,2163655
2021-06-10,967.2074,980.2593,964.2868,971.9536,3934077
2021-06-11,971.9536,987.9262,962.8264,979.3466,4988857
2021-06-14,979.3468,985.1425,965.656,975.9241,2757666
2021-06-15,975.9241,997.6012,968.9875,973.7336,3484298
